
CATEGORY_TITLE,TOTAL_VIEW_COUNT,LIKES_RATIO
Music,781114334749,7.06
Entertainment,547826386465,5.45
Gaming,209428208508,5.88
People & Blogs,197889277020,5.86
Sports,140445937799,2.69
Comedy,116749345681,6.71
Science & Technology,65492717118,4.51
Film & Animation,55050904446,4.29
Howto & Style,36384939803,4.82
News & Politics,36173430289,1.88
Education,29443533917,4.83
Autos & Vehicles,16823192106,5.05
Pets & Animals,5994057058,3.22
Travel & Events,5870309968,5.41
,2713817860,6.85
Nonprofits & Activism,131399890,8.44
