
COUNTRY,CATEGORY_TITLE,TOTAL_VIEW_COUNT,LIKES_RATIO,LIKES_VS_DISLIKES_RATIO,MEAN_TIME_TO_TREND_IN_DAYS
BR,Gaming,13949500197,6.37,61.73,4.227899
BR,People & Blogs,13908130145,9.24,56.14,4.569348
CA,Gaming,39898738624,5.54,60.19,3.676442
CA,People & Blogs,29435945146,5.19,36.86,4.484064
DE,People & Blogs,20650573356,4.96,32.29,3.519344
DE,Gaming,17952772987,5.96,56.24,2.995262
FR,Gaming,8389408837,5.58,55.98,3.236499
FR,Sports,8306082743,2.53,38.67,2.915700
GB,Gaming,34058581411,5.71,60.43,3.731401
GB,People & Blogs,24360452830,5.03,36.22,4.087670
IN,People & Blogs,31625313834,5.60,41.69,2.653569
IN,Comedy,21656090378,7.40,44.21,3.047376
JP,People & Blogs,10345965105,3.55,53.79,4.810368
JP,Gaming,9874624769,3.05,55.08,4.893401
KR,People & Blogs,14035951277,3.73,49.16,5.326519
KR,Sports,8405030103,1.39,32.99,4.963816
MX,Gaming,24213782349,7.57,62.15,4.670165
MX,People & Blogs,20765682252,8.30,57.41,4.781611
RU,People & Blogs,8351666094,7.64,32.17,1.326010
RU,Comedy,5744485021,5.87,31.12,1.395544
US,Gaming,41451172152,5.50,59.42,3.855438
US,Sports,23477241374,2.50,37.07,3.768643
